Name,Abbreviation,ID,Abbr,Alts
 Alabama,AL,1,AL,AL
 Alaska,AK,2,AK,AK
 Arizona,AZ,4,AZ,AZ
 Arkansas,AR,5,AR,AR
 California,CA,6,CA,CF
 Colorado,CO,8,CO,CL
 Connecticut,CT,9,CT,CT
 Delaware,DE,10,DE,DL
 District of Columbia,DC,11,DC,DC
 Florida,FL,12,FL,FL
 Georgia,GA,13,GA,GA
 Hawaii,HI,15,HI,HA
 Idaho,ID,16,ID,ID
 Illinois,IL,17,IL,IL
 Indiana,IN,18,IN,IN
 Iowa,IA,19,IA,IA
 Kansas,KS,20,KS,KA
 Kentucky,KY,21,KY,KY
 Louisiana,LA,22,LA,LA
 Maine,ME,23,ME,ME
 Maryland,MD,24,MD,MD
 Massachusetts,MA,25,MA,MS
 Michigan,MI,26,MI,MC
 Minnesota,MN,27,MN,MN
 Mississippi,MS,28,MS,MI
 Missouri,MO,29,MO,MO
 Montana,MT,30,MT,MT
 Nebraska,NE,31,NE,NB
 Nevada,NV,32,NV,NV
 New Hampshire,NH,33,NH,NH
 New Jersey,NJ,34,NJ,NJ
 New Mexico,NM,35,NM,NM
 New York,NY,36,NY,NY
 North Carolina,NC,37,NC,NC
 North Dakota,ND,38,ND,ND
 Ohio,OH,39,OH,OH
 Oklahoma,OK,40,OK,OK
 Oregon,OR,41,OR,OR
 Pennsylvania,PA,42,PA,PA
 Rhode Island,RI,44,RI,RI
 South Carolina,SC,45,SC,SC
 South Dakota,SD,46,SD,SD
 Tennessee,TN,47,TN,TN
 Texas,TX,48,TX,TX
 Utah,UT,49,UT,UT
 Vermont,VT,50,VT,VT
 Virginia,VA,51,VA,VA
 Washington,WA,53,WA,WN
 West Virginia,WV,54,WV,WV
 Wisconsin,WI,55,WI,WS
 Wyoming,WY,56,WY,WY
